listing_id,suburb_original,suburb_canonical,sale_price_num,usable_area_num,price_per_m2,listing_type,bedrooms,flag_outlier_price,flag_outlier_m2
2631033182,Morretes,Morretes,674000.0,62,10870.967741935483,apartamento,2,0,0
2756820548,Morretes,Morretes,674000.0,68,9911.764705882353,apartamento,2,0,0
2562410210,Morretes,Morretes,673719.0,78,8637.423076923076,apartamento,2,0,0
2749653722,Alto São Bento,Alto São Bento,673400.0,68,9902.941176470587,apartamento,2,0,0
2764633823,Morretes,Morretes,670000.0,691,969.6092619392185,apartamento,2,0,0
2758342819,Morretes,Morretes,670000.0,58,11551.724137931034,apartamento,2,0,0
2763412716,Varzea,Varzea,670000.0,64,10468.75,apartamento,2,0,0
2555239242,Andorinha,Andorinha,670000.0,75,8933.333333333334,apartamento,1,0,0
2565062615,Morretes,Morretes,670000.0,90,7444.444444444444,casa,2,0,0
2564768087,Morretes,Morretes,670000.0,90,7444.444444444444,casa,2,0,0
2644817470,Meia Praia,Meia Praia,670000.0,70,9571.42857142857,apartamento,2,0,0
2600013655,Morretes,Morretes,670000.0,67,10000.0,apartamento,2,0,0
2557257980,Morretes,Morretes,670000.0,66,10151.515151515152,apartamento,2,0,0
2566093293,Morretes,Morretes,670000.0,90,7444.444444444444,casa,2,0,0
2720532653,Morretes,Morretes,669950.0,80,8374.375,apartamento,2,0,0
2754169202,Morretes,Morretes,669950.0,81,8270.987654320988,apartamento,2,0,0
2761794453,Alto São Bento,Alto São Bento,669000.0,69,9695.652173913044,apartamento,2,0,0
2560060559,Morretes,Morretes,669000.0,62,10790.322580645161,apartamento,2,0,0
2770024542,Tabuleiro dos Oliveiras,Tabuleiro dos Oliveiras,668570.0,60,11142.833333333334,apartamento,2,0,0
2566095401,Morretes,Morretes,665000.0,70,9500.0,apartamento,2,0,0
2740351936,Morretes,Morretes,665000.0,70,9500.0,apartamento,2,0,0
2564773700,Morretes,Morretes,665000.0,65,10230.76923076923,apartamento,2,0,0
2565058782,Morretes,Morretes,665000.0,70,9500.0,apartamento,2,0,0
2565205730,Morretes,Morretes,665000.0,70,9500.0,apartamento,2,0,0
2710851734,Morretes,Morretes,664000.0,62,10709.677419354839,apartamento,2,0,0
2740370895,Morretes,Morretes,664000.0,70,9485.714285714286,apartamento,3,0,0
2762825414,Alto São Bento,Alto São Bento,662560.0,60,11042.666666666666,apartamento,2,0,0
2594915073,Varzea,Varzea,662000.0,70,9457.142857142857,apartamento,2,0,0
2764220420,Tabuleiro dos Oliveiras,Tabuleiro dos Oliveiras,660000.0,60,11000.0,apartamento,2,0,0
2757661936,Morretes,Morretes,660000.0,70,9428.57142857143,apartamento,2,0,0
2767582386,Tabuleiro dos Oliveiras,Tabuleiro dos Oliveiras,660000.0,70,9428.57142857143,apartamento,2,0,0
2724083723,Morretes,Morretes,660000.0,66,10000.0,apartamento,2,0,0
2758628225,Tabuleiro dos Oliveiras,Tabuleiro dos Oliveiras,660000.0,61,10819.672131147541,apartamento,2,0,0
2760419235,Tabuleiro dos Oliveiras,Tabuleiro dos Oliveiras,660000.0,62,10645.161290322581,apartamento,2,0,0
2618844406,Tabuleiro dos Oliveiras,Tabuleiro dos Oliveiras,660000.0,70,9428.57142857143,apartamento,3,0,0
2646971218,Morretes,Morretes,660000.0,70,9428.57142857143,apartamento,2,0,0
2703746122,Morretes,Morretes,660000.0,70,9428.57142857143,apartamento,2,0,0
2740319593,Morretes,Morretes,660000.0,70,9428.57142857143,apartamento,2,0,0
2755058480,Tabuleiro dos Oliveiras,Tabuleiro dos Oliveiras,660000.0,60,11000.0,apartamento,2,0,0
2760097413,Centro,Centro,660000.0,61,10819.672131147541,apartamento,1,0,0
2550758386,Tabuleiro dos Oliveiras,Tabuleiro dos Oliveiras,660000.0,70,9428.57142857143,apartamento,2,0,0
2744834201,Casa Branca,Casa Branca,660000.0,70,9428.57142857143,apartamento,2,0,0
2681523497,Morretes,Morretes,660000.0,69,9565.217391304348,apartamento,2,0,0
2760158217,Centro,Centro,660000.0,61,10819.672131147541,apartamento,1,0,0
2768634231,,,660000.0,61,10819.672131147541,apartamento,2,0,0
2692635758,Morretes,Morretes,660000.0,70,9428.57142857143,apartamento,2,0,0
2766852132,Morretes,Morretes,659800.0,60,10996.666666666666,apartamento,2,0,0
2574648001,Meia Praia,Meia Praia,658440.0,40,16461.0,apartamento,1,0,0
2736814324,Morretes,Morretes,658000.0,70,9400.0,apartamento,2,0,0
2645728037,Jardim Praia Mar,Jardim Praiamar,657160.0,70,9388.0,apartamento,3,0,0
2749529607,Jardim Praia Mar,Jardim Praiamar,656240.0,69,9510.72463768116,apartamento,3,0,0
2559265713,Morretes,Morretes,655621.0,64,10244.078125,apartamento,2,0,0
2692570985,Morretes,Morretes,655500.0,63,10404.761904761905,apartamento,2,0,0
2767582002,Varzea,Varzea,655000.0,64,10234.375,apartamento,2,0,0
2766853315,Morretes,Morretes,654800.0,65,10073.846153846154,apartamento,2,0,0
2769473020,Morretes,Morretes,653410.0,68,9608.970588235294,apartamento,2,0,0
2560060466,Morretes,Morretes,652870.0,67,9744.328358208955,apartamento,2,0,0
2740318363,Jardim Praia Mar,Jardim Praiamar,652461.0,70,9320.871428571429,apartamento,3,0,0
2571205557,Jardim Praia Mar,Jardim Praiamar,652312.0,63,10354.15873015873,apartamento,2,0,0
2766855218,Morretes,Morretes,651800.0,63,10346.031746031746,apartamento,2,0,0
2656735634,Alto São Bento,Alto São Bento,651000.0,54,12055.555555555555,comercial,0,0,0
2766855228,Tabuleiro dos Oliveiras,Tabuleiro dos Oliveiras,650800.0,69,9431.884057971014,apartamento,2,0,0
2597750183,Morretes,Morretes,650001.0,69,9420.304347826086,apartamento,2,0,0
2694728748,Morretes,Morretes,650001.0,288,2256.9479166666665,terreno,0,0,0
2720737135,Morretes,Morretes,650000.0,64,10156.25,apartamento,2,0,0
2682082693,Morretes,Morretes,650000.0,264,2462.121212121212,terreno,0,0,0
2760221726,Centro,Centro,650000.0,60,10833.333333333334,apartamento,2,0,0
2728077631,Morretes,Morretes,650000.0,65,10000.0,apartamento,2,0,0
2763648542,Tabuleiro dos Oliveiras,Tabuleiro dos Oliveiras,650000.0,63,10317.460317460318,apartamento,2,0,0
2644959733,Morretes,Morretes,650000.0,283,2296.819787985866,terreno,0,0,0
2705440309,Casa Branca,Casa Branca,650000.0,93,6989.247311827957,casa,2,0,0
2693915132,Morretes,Morretes,650000.0,288,2256.9444444444443,terreno,0,0,0
2752640732,Tabuleiro dos Oliveiras,Tabuleiro dos Oliveiras,650000.0,60,10833.333333333334,apartamento,2,0,0
2611783694,Morretes,Morretes,650000.0,68,9558.823529411764,apartamento,2,0,0
2645187005,Morretes,Morretes,650000.0,264,2462.121212121212,terreno,0,0,0
2721108944,Morretes,Morretes,650000.0,288,2256.9444444444443,terreno,0,0,0
2560637309,Morretes,Morretes,650000.0,288,2256.9444444444443,terreno,0,0,0
2760097339,Centro,Centro,650000.0,60,10833.333333333334,apartamento,2,0,0
2700257634,Morretes,Morretes,650000.0,65,10000.0,apartamento,2,0,0
2732136113,Morretes,Morretes,650000.0,70,9285.714285714286,apartamento,2,0,0
2764022539,Morretes,Morretes,650000.0,89,7303.3707865168535,apartamento,3,0,0
2480057028,Centro,Centro,650000.0,40,16250.0,apartamento,1,0,0
2747203008,Morretes,Morretes,650000.0,70,9285.714285714286,apartamento,2,0,0
2682067697,Morretes,Morretes,650000.0,283,2296.819787985866,terreno,0,0,0
2728428431,Jardim Praia Mar,Jardim Praiamar,650000.0,65,10000.0,apartamento,2,0,0
2700575478,Morretes,Morretes,650000.0,264,2462.121212121212,terreno,0,0,0
2736890576,Tabuleiro dos Oliveiras,Tabuleiro dos Oliveiras,650000.0,63,10317.460317460318,apartamento,2,0,0
2560637144,Morretes,Morretes,650000.0,288,2256.9444444444443,terreno,0,0,0
2560637273,Morretes,Morretes,650000.0,288,2256.9444444444443,terreno,0,0,0
2682577040,Casa Branca,Casa Branca,650000.0,70,9285.714285714286,apartamento,2,0,0
2560637635,Morretes,Morretes,650000.0,288,2256.9444444444443,terreno,0,0,0
2728007452,Morretes,Morretes,650000.0,297,2188.5521885521885,terreno,0,0,0
2705721845,Morretes,Morretes,650000.0,65,10000.0,apartamento,2,0,0
2727575555,Morretes,Morretes,650000.0,297,2188.5521885521885,terreno,0,0,0
2689597241,Morretes,Morretes,650000.0,288,2256.9444444444443,terreno,0,0,0
2706476419,Castelo Branco,Castelo Branco,650000.0,75,8666.666666666666,apartamento,2,0,0
2560637366,Morretes,Morretes,650000.0,288,2256.9444444444443,terreno,0,0,0
2751985350,Tabuleiro dos Oliveiras,Tabuleiro dos Oliveiras,650000.0,60,10833.333333333334,apartamento,2,0,0
2737430028,Morretes,Morretes,650000.0,69,9420.289855072464,apartamento,2,0,0
2621566522,Morretes,Morretes,650000.0,70,9285.714285714286,apartamento,2,0,0
2560637000,Morretes,Morretes,650000.0,288,2256.9444444444443,terreno,0,0,0
2740915784,Morretes,Morretes,650000.0,60,10833.333333333334,apartamento,2,0,0
