feature,target,quartile,N,feature_min,feature_max,target_median,target_P25,target_P75
n_reviews_host,unavailability,2,199,46.0,233.0,0.4725274725274725,0.2857142857142857,0.6538461538461539
n_reviews_host,unavailability,3,185,236.0,41299.0,0.3076923076923077,0.2307692307692307,0.4615384615384615
star_host_clean,static revenue,0,199,4.320000171661377,4.800000190734863,14091.0,9736.0,19690.5
star_host_clean,static revenue,1,212,4.809999942779541,4.909999847412109,19694.0,11975.0,31118.0
star_host_clean,static revenue,2,178,4.920000076293945,4.980000019073486,19632.0,12873.75,31302.0
star_host_clean,static revenue,3,180,4.989999771118164,5.0,15975.0,7941.3,26032.5
star_host_clean,ADR,0,199,4.320000171661377,4.800000190734863,500.0,399.5,631.625
star_host_clean,ADR,1,212,4.809999942779541,4.909999847412109,540.0,423.9375,750.75
star_host_clean,ADR,2,178,4.920000076293945,4.980000019073486,527.0,399.0,718.78125
star_host_clean,ADR,3,180,4.989999771118164,5.0,580.0,400.0,800.0
star_host_clean,unavailability,0,199,4.320000171661377,4.800000190734863,0.3076923076923077,0.2307692307692307,0.4505494505494505
star_host_clean,unavailability,1,212,4.809999942779541,4.909999847412109,0.4175824175824176,0.2637362637362637,0.6291208791208791
star_host_clean,unavailability,2,178,4.920000076293945,4.980000019073486,0.4615384615384615,0.28846153846153844,0.6813186813186813
star_host_clean,unavailability,3,180,4.989999771118164,5.0,0.3516483516483517,0.16208791208791207,0.5604395604395604
years_host,static revenue,0,265,0.0,3.0,17600.0,10660.0,26230.0
years_host,static revenue,1,178,4.0,5.0,16525.0,10706.874885,29685.0
years_host,static revenue,2,176,6.0,6.0,13813.25,9623.0625,19820.75
years_host,static revenue,3,158,7.0,11.0,19268.583075000002,12064.0,32259.7141
years_host,ADR,0,265,0.0,3.0,500.0,399.0,750.0
years_host,ADR,1,178,4.0,5.0,553.0,400.4,775.2083250000001
years_host,ADR,2,176,6.0,6.0,523.0,427.0,651.375
years_host,ADR,3,158,7.0,11.0,550.0,400.0,780.0
years_host,unavailability,0,265,0.0,3.0,0.4175824175824176,0.2197802197802197,0.6043956043956044
years_host,unavailability,1,178,4.0,5.0,0.3791208791208791,0.2307692307692307,0.6236263736263736
years_host,unavailability,2,176,6.0,6.0,0.2967032967032967,0.2197802197802197,0.4065934065934066
years_host,unavailability,3,158,7.0,11.0,0.4285714285714285,0.2664835164835164,0.6593406593406593
months_host,static revenue,0,345,0.0,1.0,14421.0,9975.0,22500.0
months_host,static revenue,1,95,2.0,2.0,18927.16681,11606.75,28977.5
months_host,static revenue,2,143,3.0,5.0,19228.0,10430.0,30337.5
months_host,static revenue,3,194,6.0,11.0,19200.0,12800.0,30600.0
months_host,ADR,0,345,0.0,1.0,523.0,400.0,700.0
months_host,ADR,1,95,2.0,2.0,550.0,384.16667,704.0
months_host,ADR,2,143,3.0,5.0,533.0,400.0,750.0
months_host,ADR,3,194,6.0,11.0,543.25,400.5,800.0
months_host,unavailability,0,345,0.0,1.0,0.3076923076923077,0.2087912087912088,0.4725274725274725
months_host,unavailability,1,95,2.0,2.0,0.4175824175824176,0.2857142857142857,0.6373626373626373
months_host,unavailability,2,143,3.0,5.0,0.4505494505494505,0.2417582417582417,0.6868131868131868
months_host,unavailability,3,194,6.0,11.0,0.43406593406593397,0.2417582417582417,0.6346153846153846
amenities_count,static revenue,0,202,4.0,23.0,16000.0,8977.5,23587.5
amenities_count,static revenue,1,198,24.0,32.0,16862.5,10543.958295,27332.5
amenities_count,static revenue,2,193,33.0,40.0,16469.0,10701.5,25369.5
amenities_count,static revenue,3,184,41.0,86.0,18950.0,12250.49375625,29817.0
amenities_count,ADR,0,202,4.0,23.0,500.0,392.25,700.0
amenities_count,ADR,1,198,24.0,32.0,523.0,400.0,750.0
amenities_count,ADR,2,193,33.0,40.0,546.0,430.0,665.0
amenities_count,ADR,3,184,41.0,86.0,557.0,400.0,775.0
amenities_count,unavailability,0,202,4.0,23.0,0.3516483516483517,0.20054945054945056,0.5274725274725275
amenities_count,unavailability,1,198,24.0,32.0,0.3516483516483517,0.2417582417582417,0.5824175824175825
amenities_count,unavailability,2,193,33.0,40.0,0.3846153846153846,0.2197802197802197,0.5604395604395604
amenities_count,unavailability,3,184,41.0,86.0,0.4065934065934066,0.2637362637362637,0.6263736263736264
description_length,static revenue,0,197,0.0,299.0,20000.0,10675.83318,30368.0
description_length,static revenue,1,192,300.0,461.0,17578.0,10482.75,29353.75
description_length,static revenue,2,203,462.0,509.0,14933.3324,9550.625,22275.0
description_length,static revenue,3,185,510.0,1257.0,16800.0,11900.0,25142.0
description_length,ADR,0,197,0.0,299.0,584.0,400.0,760.8333
description_length,ADR,1,192,300.0,461.0,524.41665,400.0,757.5
description_length,ADR,2,203,462.0,509.0,520.0,388.75,657.0
description_length,ADR,3,185,510.0,1257.0,500.0,400.0,720.0
description_length,unavailability,0,197,0.0,299.0,0.4285714285714285,0.2417582417582417,0.6263736263736264
description_length,unavailability,1,192,300.0,461.0,0.3791208791208791,0.2307692307692307,0.6043956043956044
description_length,unavailability,2,203,462.0,509.0,0.3186813186813186,0.2087912087912088,0.4835164835164835
description_length,unavailability,3,185,510.0,1257.0,0.3736263736263736,0.2417582417582417,0.5824175824175825
