N_listings,suburb,number_of_bedrooms,ADR_median,ADR_mean,ADR_p25,ADR_p75,unavailability_median,unavailability_mean,unavailability_p25,unavailability_p75,rev_proxy_median,rev_proxy_mean,rev_proxy_p25,rev_proxy_p75,confianca_amostral
2,Sertao do Trombudo,1.0,380.0,380.0,375.0,385.0,0.12637362637362637,0.12637362637362637,0.10164835164835165,0.15109890109890112,4325.0,4325.0,3527.5,5122.500000000001,muito_baixa
1,Sertao do Trombudo,4.0,1000.0,1000.0,1000.0,1000.0,0.5934065934065934,0.5934065934065934,0.5934065934065934,0.5934065934065934,54000.0,54000.0,54000.0,54000.0,muito_baixa
1,Sertaozinho,2.0,500.0,500.0,500.0,500.0,0.054945054945054944,0.054945054945054944,0.054945054945054944,0.054945054945054944,2500.0,2500.0,2500.0,2500.0,muito_baixa
2,Sertaozinho,6.0,2581.25,2581.25,2121.875,3040.625,0.11538461538461539,0.11538461538461539,0.09615384615384616,0.13461538461538464,23887.5,23887.5,23581.25,24193.75,muito_baixa
12,Tabuleiro dos Oliveiras,2.0,399.5,455.375,380.0,553.25,0.4065934065934066,0.42216117216117216,0.239010989010989,0.6043956043956044,13612.499999999998,15469.833333333334,7177.75,22862.5,baixa
3,Tabuleiro dos Oliveiras,3.0,640.0,613.3333333333334,585.0,655.0,0.14285714285714285,0.13919413919413917,0.10439560439560439,0.1758241758241758,6889.999999999999,7690.0,5455.0,9525.0,muito_baixa
1,Tabuleiro dos Oliveiras,4.0,1700.0,1700.0,1700.0,1700.0,0.31868131868131866,0.31868131868131866,0.31868131868131866,0.31868131868131866,49300.0,49300.0,49300.0,49300.0,muito_baixa
1,Varzea,1.0,450.0,450.0,450.0,450.0,0.9010989010989011,0.9010989010989011,0.9010989010989011,0.9010989010989011,36900.0,36900.0,36900.0,36900.0,muito_baixa
1,Varzea,3.0,700.0,700.0,700.0,700.0,0.8021978021978022,0.8021978021978022,0.8021978021978022,0.8021978021978022,51100.0,51100.0,51100.0,51100.0,muito_baixa
1,Varzea,5.0,1500.0,1500.0,1500.0,1500.0,0.02197802197802198,0.02197802197802198,0.02197802197802198,0.02197802197802198,3000.0000000000005,3000.0000000000005,3000.0000000000005,3000.0000000000005,muito_baixa
